SiteID,Lat,Lon,KG,PFT,elev,start_year,end_year,no_of_years
RU-Tks,71.5943,128.8878,Dsd,GRA,7.0,2010,2014,5
RU-Vrk,67.0547,62.9405,Dfc,CSH,100.0,2008,2008,1
SD-Dem,13.2829,30.4783,BWh,SAV,500.0,2005,2009,5
SE-St1,68.3541,19.0503,Dfc,WET,351.0,2012,2014,3
SJ-Adv,78.186,15.923,ET,WET,16.0,2012,2014,3
SJ-Blv,78.9216,11.8311,ET,SNO,25.0,2008,2009,2
SN-Dhr,15.4028,-15.4322,BWh,SAV,40.0,2010,2013,4
US-AR1,36.4267,-99.42,Cfa,GRA,611.0,2009,2012,4
US-AR2,36.6358,-99.5975,Cfa,GRA,646.0,2009,2012,4
US-ARb,35.54970169,-98.04019928,Cfa,GRA,424.0,2005,2006,2
US-ARc,35.54648972,-98.04000092,Cfa,GRA,424.0,2005,2006,2
US-ARM,36.6058,-97.4888,Cfa,CRO,314.0,2003,2012,10
US-Atq,70.4696,-157.4089,ET,WET,15.0,2003,2008,6
US-Blo,38.8953,-120.6328,Csb,ENF,1315.0,1997,2007,11
US-Cop,38.09,-109.39,BSk,GRA,1520.0,2001,2007,7
US-CRT,41.6285,-83.3471,Dfa,CRO,180.0,2011,2013,3
US-GBT,41.3658,-106.2397,Dfc,ENF,3191.0,2001,2003,3
US-GLE,41.3665,-106.2399,Dfc,ENF,3197.0,2005,2014,10
US-Goo,34.2547,-89.8735,Cfa,GRA,87.0,2002,2006,5
US-Ha1,42.5378,-72.1715,Dfb,DBF,340.0,1991,2012,22
US-IB2,41.8406,-88.241,Dfa,GRA,226.5,2004,2011,8
US-Ivo,68.4865,-155.7503,ET,WET,568.0,2004,2007,4
US-KS1,28.4583,-80.6709,Cfa,ENF,1.0,2002,2002,1
US-KS2,28.6086,-80.6715,Cfa,CSH,3.0,2003,2006,4
US-Lin,36.3566,-119.8423,BSk,CRO,131.0,2009,2010,2
US-Los,46.0827,-89.9792,Dfb,WET,480.0,2000,2014,15
US-LWW,34.9604,-97.9789,Cfa,GRA,365.0,1997,1998,2
US-Me1,44.5794,-121.5,Csb,ENF,896.0,2004,2005,2
US-Me2,44.4523,-121.5574,Csb,ENF,1253.0,2002,2014,13
US-Me3,44.3154,-121.6078,Csb,ENF,1005.0,2004,2009,6
US-Me4,44.4992,-121.6224,Csb,ENF,922.0,1996,2000,5
US-Me5,44.4372,-121.5668,Csb,ENF,1188.0,2000,2002,3
US-Me6,44.3233,-121.6078,Csb,ENF,998.0,2010,2014,5
US-MMS,39.3232,-86.4131,Cfa,DBF,275.0,1999,2014,16
US-Myb,38.0498,-121.7651,Csa,WET,-1.0,2011,2014,4
US-Ne1,41.1651,-96.4766,Dfa,CRO,361.0,2001,2013,13
US-Ne2,41.1649,-96.4701,Dfa,CRO,362.0,2001,2013,13
US-Ne3,41.1797,-96.4397,Dfa,CRO,363.0,2001,2013,13
US-NR1,40.0329,-105.5464,Dfc,ENF,3050.0,1999,2014,16
US-Oho,41.5545,-83.8438,Dfa,DBF,230.0,2004,2013,10
US-ORv,40.0201,-83.0183,Cfa,WET,221.0,2011,2011,1
US-PFa,45.9459,-90.2723,Dfb,MF,470.0,1996,2014,19
US-Prr,65.1237,-147.4876,Dfc,ENF,210.0,2010,2014,5
US-SRC,31.9083,-110.8395,BSh,OSH,991.0,2008,2014,7
US-SRG,31.7894,-110.8277,Csa,GRA,1291.0,2008,2014,7
